,,,,,,,,,Score,,,,Passing,,,,,,,,,,Rushing,,,,Total Offense,,,Kicking,,,,Punting,,First Downs,,,,Downs,,,,Penalties,,Turnovers,,,
Tm,Div,Rk,Gtm,Week,Date,Day,Home/Away,Opp,Rslt,Pts,PtsO,OT,Cmp,Att,Cmp%,Yds,TD,Y/A,AY/A,Rate,Sk,Yds,Att,Yds,TD,Y/A,Ply,Tot,Y/P,FGA,FGM,XPA,XPM,Pnt,Yds,Pass,Rsh,Pen,1stD,3DConv,3DAtt,4DConv,4DAtt,Pen,Yds,FL,Int,TO,ToP
Dallas Cowboys,NFC EAST,4,4,4,10/3/2021,Sun,Home,CAR,W,36,28,,14,22,63.6,188,4,8.5,12.18,130.3,0,0,34,245,1,7.2,56,433,7.73,1,1,3,3,4,190,10,12,2,24,3,9,1,1,7,50,0,0,0,26:24:00
Dallas Cowboys,NFC EAST,5,5,5,10/10/2021,Sun,Home,NYG,W,44,20,,23,33,69.7,314,3,9.5,9.97,117.5,2,10,39,201,1,5.2,74,515,6.96,3,3,5,5,1,61,13,10,3,26,8,14,1,2,8,58,1,1,2,32:12:00
Dallas Cowboys,NFC EAST,6,6,6,10/17/2021,Sun,Away,NWE,W,35,29,OT,36,51,70.6,445,3,8.7,9.02,108.7,0,0,31,122,0,3.9,82,567,6.91,4,3,2,2,1,51,25,5,2,32,3,13,2,4,12,115,1,1,2,39:17:00
Dallas Cowboys,NFC EAST,7,7,8,10/31/2021,Sun,Away,MIN,W,20,16,,25,41,61,341,2,8.3,8.2,93.6,3,19,24,78,0,3.3,68,419,6.16,3,2,2,2,4,181,17,4,2,23,7,14,0,0,11,96,1,1,2,32:32:00
Dallas Cowboys,NFC EAST,8,8,9,11/7/2021,Sun,Home,DEN,L,16,30,,19,39,48.7,212,2,5.4,5.31,71.7,2,20,16,78,0,4.9,57,290,5.09,0,0,0,0,4,194,11,2,1,14,5,13,0,4,5,38,1,1,2,18:48
Dallas Cowboys,NFC EAST,9,9,10,11/14/2021,Sun,Home,ATL,W,43,3,,28,35,80,317,2,9.1,10.2,123.5,0,0,37,114,3,3.1,72,431,5.99,0,0,5,5,4,190,14,8,0,22,6,14,3,3,8,80,1,0,1,37:41:00
Dallas Cowboys,NFC EAST,10,10,11,11/21/2021,Sun,Away,KAN,L,9,19,,28,43,65.1,194,0,4.5,2.42,55.8,5,22,16,82,0,5.1,64,276,4.31,3,3,0,0,6,280,14,1,1,16,5,15,0,0,6,45,1,2,3,29:13:00
Dallas Cowboys,NFC EAST,11,11,12,11/25/2021,Thu,Home,LVR,L,33,36,OT,32,47,68.1,373,2,7.9,8.79,106.1,1,2,20,64,1,3.2,68,437,6.43,3,2,2,1,7,385,13,6,4,23,3,13,0,0,14,166,0,0,0,26:30:00
Dallas Cowboys,NFC EAST,12,12,13,12/2/2021,Thu,Away,NOR,W,27,17,,26,40,65,231,1,5.8,5.15,78.2,1,7,24,146,1,6.1,65,377,5.8,2,2,3,3,7,337,10,5,2,17,2,13,0,1,5,35,0,1,1,28:06:00
Dallas Cowboys,NFC EAST,13,13,14,12/12/2021,Sun,Away,WAS,W,27,20,,22,39,56.4,201,1,5.2,3.36,57.7,4,10,35,122,0,3.5,78,323,4.14,4,4,1,1,6,268,11,7,1,19,7,18,0,0,7,60,0,2,2,34:29:00
Dallas Cowboys,NFC EAST,14,14,15,12/19/2021,Sun,Away,NYG,W,21,6,,28,37,75.7,203,1,5.5,6.03,97,3,14,30,125,1,4.2,70,328,4.69,3,3,2,0,4,160,14,9,0,23,8,14,0,0,6,45,1,0,1,33:23:00
Dallas Cowboys,NFC EAST,15,15,16,12/26/2021,Sun,Home,WAS,W,56,14,,30,42,71.4,389,5,9.3,11.64,139.8,3,11,28,108,1,3.9,73,497,6.81,0,0,8,8,4,214,20,7,1,28,10,15,1,1,3,15,0,0,0,31:31:00
Dallas Cowboys,NFC EAST,16,16,17,1/2/2022,Sun,Home,ARI,L,22,25,,25,39,64.1,256,3,6.6,8.1,108.5,1,1,17,45,0,2.6,57,301,5.28,1,0,2,2,4,195,15,2,2,19,3,11,3,3,10,88,1,0,1,25:18:00
Dallas Cowboys,NFC EAST,17,17,18,1/8/2022,Sat,Away,PHI,W,51,26,,22,28,78.6,304,5,10.9,14.43,151.5,1,1,32,171,2,5.3,61,475,7.79,1,1,7,6,1,44,13,9,0,22,8,13,2,2,5,44,0,0,0,27:37:00
Dallas Cowboys,NFC EAST,1,1,1,9/11/2022,Sun,Home,TAM,L,3,19,,21,42,50,173,0,4.1,3.05,51,4,25,18,71,0,3.9,64,244,3.81,1,1,0,0,5,254,8,4,0,12,3,15,2,5,10,73,0,1,1,27:18:00
Dallas Cowboys,NFC EAST,2,2,2,9/18/2022,Sun,Home,CIN,W,20,17,,19,31,61.3,230,1,7.4,8.06,94.8,1,5,27,107,1,4,59,337,5.71,2,2,2,2,5,217,11,7,1,19,3,10,1,1,5,45,1,0,1,26:12:00
Dallas Cowboys,NFC EAST,3,3,3,9/26/2022,Mon,Away,NYG,W,23,16,,21,31,67.7,215,1,6.9,7.58,98.2,0,0,30,176,1,5.9,61,391,6.41,4,3,2,2,4,178,12,9,2,23,5,13,1,1,8,70,0,0,0,32:42:00
Dallas Cowboys,NFC EAST,4,4,4,10/2/2022,Sun,Home,WAS,W,25,10,,15,27,55.6,217,2,8,9.52,106.6,1,6,29,62,0,2.1,57,279,4.89,4,4,2,1,6,256,9,2,4,15,5,15,0,0,4,20,0,0,0,26:54:00
